time,station,land
1955.71,-0.10,-0.11
1955.79,0.00,-0.05
1955.88,-0.29,-0.25
1955.96,-0.30,-0.28
1956.04,-0.20,-0.13
1956.13,-0.30,-0.24
1956.21,-0.30,-0.21
1956.29,-0.26,-0.28
1956.38,-0.29,-0.29
1956.46,-0.08,-0.16
1956.54,-0.08,-0.09
1956.63,-0.35,-0.26
1956.71,-0.15,-0.19
1956.79,-0.23,-0.23
1956.88,-0.21,-0.15
1956.96,-0.17,-0.06
1957.04,-0.09,-0.09
1957.13,-0.01,-0.03
1957.21,-0.04,-0.05
1957.29,0.04,0.00
1957.38,0.03,0.09
1957.46,0.18,0.16
1957.54,-0.04,0.02
1957.63,0.19,0.15
1957.71,0.14,0.09
1957.79,0.03,0.01
1957.88,0.19,0.08
1957.96,0.23,0.15
1958.04,0.44,0.39
1958.13,0.27,0.22
1958.21,0.16,0.08
1958.29,0.08,0.01
1958.38,0.15,0.06
1958.46,-0.20,-0.08
1958.54,0.08,0.05
1958.63,-0.10,-0.05
1958.71,-0.08,-0.02
1958.79,0.10,0.04
1958.88,0.10,0.02
1958.96,-0.06,0.01
1959.04,0.05,0.08
1959.13,0.06,0.07
1959.21,0.22,0.18
1959.29,0.23,0.16
1959.38,-0.01,0.04
1959.46,0.10,0.03
1959.54,0.06,0.03
